Month,Big data: (Canada)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,14
2005-03,0
2005-04,0
2005-05,23
2005-06,0
2005-07,0
2005-08,0
2005-09,11
2005-10,0
2005-11,10
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,6
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,5
2007-06,0
2007-07,5
2007-08,0
2007-09,5
2007-10,0
2007-11,0
2007-12,5
2008-01,0
2008-02,4
2008-03,4
2008-04,0
2008-05,4
2008-06,9
2008-07,5
2008-08,0
2008-09,0
2008-10,4
2008-11,0
2008-12,0
2009-01,4
2009-02,0
2009-03,0
2009-04,4
2009-05,0
2009-06,0
2009-07,0
2009-08,3
2009-09,3
2009-10,3
2009-11,6
2009-12,0
2010-01,0
2010-02,3
2010-03,3
2010-04,3
2010-05,0
2010-06,3
2010-07,0
2010-08,3
2010-09,3
2010-10,0
2010-11,3
2010-12,8
2011-01,0
2011-02,0
2011-03,2
2011-04,6
2011-05,2
2011-06,4
2011-07,0
2011-08,6
2011-09,2
2011-10,2
2011-11,7
2011-12,11
2012-01,13
2012-02,16
2012-03,16
2012-04,19
2012-05,34
2012-06,20
2012-07,32
2012-08,15
2012-09,21
2012-10,29
2012-11,30
2012-12,33
2013-01,32
2013-02,40
2013-03,49
2013-04,50
2013-05,44
2013-06,43
2013-07,43
2013-08,34
2013-09,46
2013-10,51
2013-11,73
2013-12,41
2014-01,67
2014-02,68
2014-03,62
2014-04,76
2014-05,58
2014-06,65
2014-07,81
2014-08,80
2014-09,75
2014-10,76
2014-11,98
2014-12,52
2015-01,72
2015-02,83
2015-03,95
2015-04,86
2015-05,68
2015-06,66
2015-07,64
2015-08,52
2015-09,77
2015-10,84
2015-11,96
2015-12,60
2016-01,80
2016-02,76
2016-03,76
2016-04,77
2016-05,71
2016-06,77
2016-07,58
2016-08,63
2016-09,64
2016-10,75
2016-11,100
2016-12,77
2017-01,72
2017-02,69
2017-03,97
2017-04,96
2017-05,90
2017-06,95
2017-07,63
2017-08,72
2017-09,84
2017-10,79
2017-11,86
2017-12,63
2018-01,81
2018-02,84
2018-03,86
2018-04,93
2018-05,69
2018-06,68
2018-07,58
2018-08,74
2018-09,56
2018-10,82
2018-11,96
2018-12,48
2019-01,72
2019-02,63
2019-03,68
2019-04,64
2019-05,74
2019-06,68
2019-07,62
2019-08,42
2019-09,67
2019-10,79
2019-11,77
2019-12,61
2020-01,67
2020-02,72
2020-03,68
2020-04,58
2020-05,63
2020-06,51
2020-07,52
2020-08,60
2020-09,72
2020-10,72
2020-11,49
2020-12,57
2021-01,71
2021-02,50
2021-03,36
2021-04,46
2021-05,41
2021-06,42
2021-07,24
2021-08,32
2021-09,55
