Month,SQL: (Canada)
2004-01,77
2004-02,96
2004-03,95
2004-04,85
2004-05,86
2004-06,96
2004-07,96
2004-08,100
2004-09,79
2004-10,80
2004-11,93
2004-12,74
2005-01,73
2005-02,91
2005-03,74
2005-04,74
2005-05,81
2005-06,79
2005-07,85
2005-08,77
2005-09,71
2005-10,69
2005-11,72
2005-12,60
2006-01,71
2006-02,77
2006-03,72
2006-04,75
2006-05,74
2006-06,76
2006-07,74
2006-08,73
2006-09,63
2006-10,66
2006-11,71
2006-12,54
2007-01,63
2007-02,63
2007-03,70
2007-04,65
2007-05,69
2007-06,73
2007-07,69
2007-08,66
2007-09,60
2007-10,66
2007-11,69
2007-12,51
2008-01,58
2008-02,56
2008-03,59
2008-04,64
2008-05,68
2008-06,63
2008-07,66
2008-08,59
2008-09,63
2008-10,59
2008-11,60
2008-12,47
2009-01,52
2009-02,61
2009-03,60
2009-04,63
2009-05,55
2009-06,55
2009-07,55
2009-08,50
2009-09,56
2009-10,47
2009-11,56
2009-12,50
2010-01,50
2010-02,54
2010-03,58
2010-04,54
2010-05,53
2010-06,52
2010-07,50
2010-08,47
2010-09,51
2010-10,52
2010-11,53
2010-12,42
2011-01,41
2011-02,43
2011-03,45
2011-04,43
2011-05,42
2011-06,45
2011-07,42
2011-08,44
2011-09,39
2011-10,38
2011-11,43
2011-12,37
2012-01,40
2012-02,42
2012-03,43
2012-04,42
2012-05,43
2012-06,42
2012-07,40
2012-08,41
2012-09,41
2012-10,42
2012-11,41
2012-12,33
2013-01,35
2013-02,41
2013-03,37
2013-04,39
2013-05,38
2013-06,37
2013-07,35
2013-08,32
2013-09,36
2013-10,38
2013-11,35
2013-12,30
2014-01,34
2014-02,38
2014-03,36
2014-04,37
2014-05,40
2014-06,39
2014-07,40
2014-08,35
2014-09,41
2014-10,42
2014-11,35
2014-12,31
2015-01,36
2015-02,43
2015-03,42
2015-04,38
2015-05,38
2015-06,40
2015-07,38
2015-08,33
2015-09,38
2015-10,37
2015-11,37
2015-12,33
2016-01,33
2016-02,39
2016-03,37
2016-04,35
2016-05,36
2016-06,36
2016-07,33
2016-08,35
2016-09,36
2016-10,32
2016-11,40
2016-12,31
2017-01,33
2017-02,37
2017-03,39
2017-04,33
2017-05,37
2017-06,35
2017-07,34
2017-08,34
2017-09,36
2017-10,35
2017-11,37
2017-12,27
2018-01,34
2018-02,34
2018-03,37
2018-04,34
2018-05,36
2018-06,37
2018-07,34
2018-08,33
2018-09,34
2018-10,37
2018-11,36
2018-12,26
2019-01,34
2019-02,36
2019-03,33
2019-04,34
2019-05,36
2019-06,34
2019-07,34
2019-08,31
2019-09,34
2019-10,37
2019-11,36
2019-12,25
2020-01,32
2020-02,34
2020-03,31
2020-04,28
2020-05,26
2020-06,29
2020-07,27
2020-08,27
2020-09,27
2020-10,29
2020-11,26
2020-12,19
2021-01,22
2021-02,25
2021-03,28
2021-04,25
2021-05,21
2021-06,25
2021-07,22
2021-08,23
2021-09,16
